word_id,top_k,k_effective,centroid_sim,nn_recall_80,nn_precision_80,nn_f1_80,nn_recall_90,nn_precision_90,nn_f1_90,nn_recall_95,nn_precision_95,nn_f1_95
атмосфера,1,1,0.822198,0.4,1.0,0.571429,0.4,1.0,0.571429,0.4,1.0,0.571429
атмосфера,5,5,0.822977,0.4,0.991951,0.570107,0.4,0.991951,0.570107,0.4,0.991951,0.570107
атмосфера,10,10,0.823021,0.4,0.991568,0.570044,0.4,0.991568,0.570044,0.4,0.991568,0.570044
атмосфера,20,20,0.823025,0.4,0.991505,0.570033,0.4,0.991505,0.570033,0.4,0.991505,0.570033
атмосфера,50,50,0.823026,0.4,0.991497,0.570032,0.4,0.991497,0.570032,0.4,0.991497,0.570032
атмосфера,100,81,0.823026,0.4,0.991496,0.570032,0.4,0.991496,0.570032,0.4,0.991496,0.570032
атмосфера,200,81,0.823026,0.4,0.991496,0.570032,0.4,0.991496,0.570032,0.4,0.991496,0.570032
атрибутику,1,1,0.236346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,5,5,0.234833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,10,10,0.235303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,20,20,0.235238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,50,47,0.235257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,100,47,0.235257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,200,47,0.235257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,1,1,0.971899,0.666667,1.0,0.8,0.666667,1.0,0.8,0.666667,1.0,0.8
бампера,5,5,0.942628,0.666667,0.682343,0.674414,0.666667,0.682343,0.674414,0.666667,0.682343,0.674414
бампера,10,10,0.942425,0.666667,0.678989,0.672772,0.666667,0.678989,0.672772,0.666667,0.678989,0.672772
бампера,20,20,0.942458,0.666667,0.677183,0.671884,0.666667,0.677183,0.671884,0.666667,0.677183,0.671884
бампера,50,50,0.942463,0.666667,0.676494,0.671544,0.666667,0.676494,0.671544,0.666667,0.676494,0.671544
бампера,100,100,0.942462,0.666667,0.676386,0.671491,0.666667,0.676386,0.671491,0.666667,0.676386,0.671491
бампера,200,188,0.942462,0.666667,0.676377,0.671487,0.666667,0.676377,0.671487,0.666667,0.676377,0.671487
банке,1,1,0.183799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
банке,5,5,0.769795,1.0,0.500048,0.666709,1.0,0.500048,0.666709,1.0,0.500048,0.666709
банке,10,10,0.769843,1.0,0.500092,0.666749,1.0,0.500092,0.666749,1.0,0.500092,0.666749
банке,20,20,0.769843,1.0,0.500092,0.666749,1.0,0.500092,0.666749,1.0,0.500092,0.666749
банке,50,50,0.769843,1.0,0.500092,0.666749,1.0,0.500092,0.666749,1.0,0.500092,0.666749
