word_id,top_k,k_effective,centroid_sim,nn_recall_80,nn_precision_80,nn_f1_80,nn_recall_90,nn_precision_90,nn_f1_90,nn_recall_95,nn_precision_95,nn_f1_95
атмосфера,1,1,0.105107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атмосфера,5,5,0.240243,0.4,0.000295,0.00059,0.4,0.000295,0.00059,0.4,0.000295,0.00059
атмосфера,10,10,0.240459,0.4,0.000295,0.00059,0.4,0.000295,0.00059,0.4,0.000295,0.00059
атмосфера,20,20,0.240586,0.4,0.000295,0.00059,0.4,0.000295,0.00059,0.4,0.000295,0.00059
атмосфера,50,50,0.240822,0.4,0.000332,0.000664,0.4,0.000332,0.000664,0.4,0.000332,0.000664
атмосфера,100,100,0.240987,0.4,0.000332,0.000663,0.4,0.000332,0.000663,0.4,0.000332,0.000663
атмосфера,200,200,0.241112,0.6,0.000343,0.000686,0.6,0.000343,0.000686,0.6,0.000343,0.000686
атрибутику,1,1,0.071171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,5,5,0.071301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,10,10,0.071377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,20,20,0.071543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,50,50,0.071842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,100,100,0.072147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
атрибутику,200,194,0.072217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,1,1,0.474455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,5,5,0.374155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,10,10,0.374183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,20,20,0.374431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,50,50,0.37478,0.066667,6.6e-05,0.000131,0.066667,6.6e-05,0.000131,0.066667,6.6e-05,0.000131
бампера,100,100,0.37498,0.2,0.000121,0.000242,0.2,9.9e-05,0.000198,0.2,9.9e-05,0.000198
бампера,200,200,0.375128,0.2,0.000121,0.000242,0.2,9.9e-05,0.000198,0.2,9.9e-05,0.000198
банке,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
банке,5,5,0.998818,1.0,0.922466,0.959669,1.0,0.922466,0.959669,1.0,0.922466,0.959669
банке,10,10,0.997319,1.0,0.846175,0.916679,1.0,0.846175,0.916679,1.0,0.846175,0.916679
банке,20,20,0.994525,1.0,0.770162,0.87016,1.0,0.770162,0.87016,1.0,0.770162,0.87016
