feature,value,mean_delta,n_contexts
Animacy,Inan,0.3728,123
Animacy,Anim,0.1015,123
Aspect,Perf,0.2314,77
Aspect,Imp,0.1673,77
Case,Nom,0.3319,133
Case,Acc,0.1853,133
Case,Gen,0.181,133
Case,Ins,0.0981,133
Case,Dat,0.039,133
Case,Loc,0.0337,133
Case,Par,0.0,133
Case,Voc,0.0,133
Gender,Masc,0.2984,137
Gender,Fem,0.2645,137
Gender,Neut,0.1509,137
Number,Sing,0.3278,141
Number,Plur,0.2343,141
Tense,Past,0.2207,63
Tense,Pres,0.0712,63
Tense,Fut,0.0123,63
VerbForm,Fin,0.2195,77
VerbForm,Part,0.1127,77
VerbForm,Inf,0.1041,77
VerbForm,Conv,0.0035,77
